hash    	name                                                        	batch                         	cracked   	status   	pr
b612fe95	DeadzoneMagnitude                                           	pre-ledger-backlog            	2026-07-20	pending  	-
a525bc7a	DeadzonePercent                                             	pre-ledger-backlog            	2026-07-20	pending  	-
c5597e8c	Def                                                         	pre-ledger-backlog            	2026-07-20	pending  	-
9a676645	DefaultAugment                                              	pre-ledger-backlog            	2026-07-20	pending  	-
012c1bc1	DefaultColor                                                	pre-ledger-backlog            	2026-07-20	pending  	-
9b9a3c69	DefaultDescriptions                                         	pre-ledger-backlog            	2026-07-20	pending  	-
307d1fb1	DefaultGain                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
4b9489d8	DefaultIcons                                                	pre-ledger-backlog            	2026-07-20	pending  	-
3f074682	DefaultInput                                                	pre-ledger-backlog            	2026-07-20	pending  	-
7c29b357	DefaultOutput                                               	pre-ledger-backlog            	2026-07-20	pending  	-
1bdade49	DefaultPlayerInventory                                      	pre-ledger-backlog            	2026-07-20	pending  	-
4fc07890	DefaultSkinName                                             	pre-ledger-backlog            	2026-07-20	pending  	-
2f6cd7a5	DefaultTooltip                                              	pre-ledger-backlog            	2026-07-20	pending  	-
1ff99d7f	DefaultTra                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
17f82fb1	DelayTime                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
d23c9e02	DepthFog                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
4d87c515	DepthFogColor                                               	pre-ledger-backlog            	2026-07-20	pending  	-
456d362f	DepthFogEnd                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
a6ce8c9a	DepthFogStart                                               	pre-ledger-backlog            	2026-07-20	pending  	-
2afda2ce	DescriptionFooter                                           	pre-ledger-backlog            	2026-07-20	pending  	-
3b7aa707	DescriptionLong                                             	pre-ledger-backlog            	2026-07-20	pending  	-
c19c58be	DescriptionOverrides                                        	pre-ledger-backlog            	2026-07-20	pending  	-
bff2f361	DescriptionShort                                            	pre-ledger-backlog            	2026-07-20	pending  	-
67e380d5	DesignerProperty                                            	pre-ledger-backlog            	2026-07-20	pending  	-
1a01f930	DetailedIcon                                                	pre-ledger-backlog            	2026-07-20	pending  	-
4a255f53	DetailedScene                                               	pre-ledger-backlog            	2026-07-20	pending  	-
09cfdcf0	Difficulty                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
4756c3d8	DifficultyData                                              	pre-ledger-backlog            	2026-07-20	pending  	-
fdf1d536	DifficultyLevel                                             	pre-ledger-backlog            	2026-07-20	pending  	-
827aac32	DisableFogOfWar                                             	pre-ledger-backlog            	2026-07-20	pending  	-
97812f3b	DisableThrottle                                             	pre-ledger-backlog            	2026-07-20	pending  	-
77cff90e	DisplayCondition                                            	pre-ledger-backlog            	2026-07-20	pending  	-
9b5df0d5	DisplayData                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
fb3055fc	DisplayFlags                                                	pre-ledger-backlog            	2026-07-20	pending  	-
5f22a7f6	DisplayNameOverride                                         	pre-ledger-backlog            	2026-07-20	pending  	-
fba5b4cd	DistanceThreshold                                           	pre-ledger-backlog            	2026-07-20	pending  	-
72a9c287	DistributionWeight                                          	pre-ledger-backlog            	2026-07-20	pending  	-
3a568777	DividerTra                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
11784e5b	DivisionUp                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
e568bb76	Dof                                                         	pre-ledger-backlog            	2026-07-20	pending  	-
9b8085f1	DofDebug                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
cc492242	DoubleActive                                                	pre-ledger-backlog            	2026-07-20	pending  	-
64761191	DoubleCompleted                                             	pre-ledger-backlog            	2026-07-20	pending  	-
bd63565e	DoubleLocked                                                	pre-ledger-backlog            	2026-07-20	pending  	-
8e2e1f5e	DropRateButton                                              	pre-ledger-backlog            	2026-07-20	pending  	-
ea4b69c5	DuplicateText                                               	pre-ledger-backlog            	2026-07-20	pending  	-
af128762	DurationSeconds                                             	pre-ledger-backlog            	2026-07-20	pending  	-
9561c6b3	EarlyComp                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
8e97ff30	EasingData                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
4e7c6b11	EffectColor0                                                	pre-ledger-backlog            	2026-07-20	pending  	-
4d7c697e	EffectColor1                                                	pre-ledger-backlog            	2026-07-20	pending  	-
39a1c5e5	ElapsedTimeColor                                            	pre-ledger-backlog            	2026-07-20	pending  	-
ec5a120e	ElementCount                                                	pre-ledger-backlog            	2026-07-20	pending  	-
f8ee7183	ElementEnter                                                	pre-ledger-backlog            	2026-07-20	pending  	-
17d6be37	ElementExit                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
6971d77f	ElementList                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
de03ac0a	EmblemIcon                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
f92d1cec	EmoteDirection                                              	pre-ledger-backlog            	2026-07-20	pending  	-
713db564	EmoteItem                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
bcd3fffb	EmoteType                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
74adca0b	EmptyIcon                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
29d7590a	EmptyTexturePath                                            	pre-ledger-backlog            	2026-07-20	pending  	-
2bb40018	EmptyTicks                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
08dad7b8	EnableEncounters                                            	pre-ledger-backlog            	2026-07-20	pending  	-
a0b12922	EncounterButton                                             	pre-ledger-backlog            	2026-07-20	pending  	-
c67a7d17	EncounterIcon                                               	pre-ledger-backlog            	2026-07-20	pending  	-
63508947	EncounterNumber                                             	pre-ledger-backlog            	2026-07-20	pending  	-
b3110c3d	EndColor                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
9d636613	EndDegrees                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
dffa5e65	EndDivision                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
deaaf4b8	EndFloat                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
762dd179	EndLocation                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
af7d7ce0	EndScale                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
6837c753	EndValue                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
1f4223e1	EndVector                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
b5cc1f9b	EnemyCompanion                                              	pre-ledger-backlog            	2026-07-20	pending  	-
a5e2e84f	EnemyDamageSkin                                             	pre-ledger-backlog            	2026-07-20	pending  	-
047483a1	EnemyLayout                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
a159f8ea	EnemyMapSkin                                                	pre-ledger-backlog            	2026-07-20	pending  	-
8a3fc6eb	EntityDefinition                                            	pre-ledger-backlog            	2026-07-20	pending  	-
4a22b647	EntityInputs                                                	pre-ledger-backlog            	2026-07-20	pending  	-
989015d3	EntityRef                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
0329cc30	Equipped                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
221758ae	EquippedBorder                                              	pre-ledger-backlog            	2026-07-20	pending  	-
352afac6	EquippedBuffs                                               	pre-ledger-backlog            	2026-07-20	pending  	-
d0547d28	EquippedTraKey                                              	pre-ledger-backlog            	2026-07-20	pending  	-
f701308d	ErrorDescriptionTraKey                                      	pre-ledger-backlog            	2026-07-20	pending  	-
feb06968	ErrorGroup                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
7f4e86a0	ErrorTexture                                                	pre-ledger-backlog            	2026-07-20	pending  	-
d3eab8e5	EventCarousel                                               	pre-ledger-backlog            	2026-07-20	pending  	-
dcf1a165	EventMapIndex                                               	pre-ledger-backlog            	2026-07-20	pending  	-
81ba3772	EventPrompts                                                	pre-ledger-backlog            	2026-07-20	pending  	-
5950d0c5	EventSet                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
9f56fb21	ExchangeIcon                                                	pre-ledger-backlog            	2026-07-20	pending  	-
e40347b4	ExcludeTags                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
a01e3d98	Execute                                                     	pre-ledger-backlog            	2026-07-20	pending  	-
c1be745d	ExecuteBar                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
0777a7af	ExpBonus                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
1dc91264	ExpUpgrade                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
5c8ff3a6	Factor                                                      	pre-ledger-backlog            	2026-07-20	pending  	-
aae9bc5e	FailTra                                                     	pre-ledger-backlog            	2026-07-20	pending  	-
64c2cb47	FailureOverlay                                              	pre-ledger-backlog            	2026-07-20	pending  	-
0f9ec900	FalloffEasingType                                           	pre-ledger-backlog            	2026-07-20	pending  	-
